X,Y,nom_dept,nom_com,insee_com,nom_station,code_station,typologie,influence,nom_poll,id_poll_ue,valeur,unite,metrique,date_debut,date_fin,statut_valid,x_l93,y_l93,ObjectId
3.50303,44.522,LOZERE,MENDE,48095,Mende - Vernede urbain,FR50801,Urbaine,Fond,PM2.5,6001,4.3,ug.m-3,horaire,2020-03-16T16:00:00.000Z,2020-03-16T17:00:00.000Z,t,739976,6380453,7561
3.88689,43.5915,HERAULT,MONTPELLIER,34172,Montpellier - Prés d Arènes Urbain,FR50200,Urbaine,Fond,PM2.5,6001,9.6,ug.m-3,horaire,2020-03-16T15:00:00.000Z,2020-03-16T16:00:00.000Z,t,771642,6277340,7562
4.69736,44.0536,GARD,SAINT-LAURENT-DES-ARBRES,30278,St Laurent des Arbres - périurbain,FR50214,Périurbaine,Fond,PM2.5,6001,5.9,ug.m-3,horaire,2020-03-16T15:00:00.000Z,2020-03-16T16:00:00.000Z,t,836000,6329750,7563
0.719131,43.1049,HAUTE-GARONNE,SAINT-GAUDENS,31483,Saint-Gaudens urbain,FR50825,Urbaine,Fond,PM2.5,6001,2.6,ug.m-3,horaire,2020-03-16T17:00:00.000Z,2020-03-16T18:00:00.000Z,t,514212,6225531,7564
3.89861,43.61,HERAULT,MONTPELLIER,34172,Montpellier - Pompignane Trafic,FR50203,Urbaine,Trafic,PM2.5,6001,11.8,ug.m-3,horaire,2020-03-16T15:00:00.000Z,2020-03-16T16:00:00.000Z,t,772566,6279407,7565
1.43861,43.6236,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Mazades Urbain,FR50021,Urbaine,Fond,PM2.5,6001,8.7,ug.m-3,horaire,2020-03-16T17:00:00.000Z,2020-03-16T18:00:00.000Z,t,573948,6281752,7566
-0.051944,43.095,HAUTES-PYRENEES,LOURDES,65286,Lourdes-Paradis Trafic,FR50045,Urbaine,Trafic,PM2.5,6001,2.3,ug.m-3,horaire,2020-03-16T15:00:00.000Z,2020-03-16T16:00:00.000Z,t,451389,6226552,7567
1.44389,43.5872,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Berthelot Urbain,FR50030,Urbaine,Fond,PM2.5,6001,9.3,ug.m-3,horaire,2020-03-16T17:00:00.000Z,2020-03-16T18:00:00.000Z,t,574294,6277699,7568
2.8997,42.6958,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan Centre - urbain,FR50220,Urbaine,Fond,PM2.5,6001,10.1,ug.m-3,horaire,2020-03-16T15:00:00.000Z,2020-03-16T16:00:00.000Z,t,691771,6177360,7569
0.179722,43.6303,GERS,PEYRUSSE-VIEILLE,32317,Peyrusse Vieille Rural,FR50020,Rurale Nationale,Fond,NO,38,0.09,ug.m-3,horaire,2020-03-16T17:00:00.000Z,2020-03-16T18:00:00.000Z,t,472377,6285316,7570
4.37422,43.8344,GARD,NIMES,30189,Nîmes Sud - urbain,FR50211,Urbaine,Fond,NO,38,0.8,ug.m-3,horaire,2020-03-16T17:00:00.000Z,2020-03-16T18:00:00.000Z,t,810536,6304894,7571
1.46765,43.6431,HAUTE-GARONNE,TOULOUSE,31555,Toulouse - Rte Albi Trafic,FR50054,Urbaine,Trafic,NO,38,49.3,ug.m-3,horaire,2020-03-16T17:00:00.000Z,2020-03-16T18:00:00.000Z,t,576334,6283873,7572
1.41518,43.6103,HAUTE-GARONNE,TOULOUSE,31555,Toulouse Port de l Embouchure,FR50821,Urbaine,Trafic,NO,38,3.3,ug.m-3,horaire,2020-03-16T17:00:00.000Z,2020-03-16T18:00:00.000Z,t,572027,6280312,7573
1.4496,43.574,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Périphérique Trafic,FR50048,Urbaine,Trafic,NO,38,55.3,ug.m-3,horaire,2020-03-16T17:00:00.000Z,2020-03-16T18:00:00.000Z,t,573544,6276247,7574
1.376,43.634,HAUTE-GARONNE,BLAGNAC,31069,Blagnac Aéroport Trafic ,FR50044,Périurbaine,Trafic,NO,38,3.2,ug.m-3,horaire,2020-03-16T17:00:00.000Z,2020-03-16T18:00:00.000Z,t,568918,6283009,7575
3.89861,43.61,HERAULT,MONTPELLIER,34172,Montpellier - Pompignane Trafic,FR50203,Urbaine,Trafic,NO,38,26.7,ug.m-3,horaire,2020-03-16T17:00:00.000Z,2020-03-16T18:00:00.000Z,t,772566,6279407,7576
1.43861,43.6236,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Mazades Urbain,FR50021,Urbaine,Fond,NO,38,0,ug.m-3,horaire,2020-03-16T17:00:00.000Z,2020-03-16T18:00:00.000Z,t,573948,6281752,7577
3.50483,43.2878,HERAULT,AGDE,34003,Agathois-Piscénois - Périurbain,FR50210,Périurbaine,Fond,NO,38,0.6,ug.m-3,horaire,2020-03-16T17:00:00.000Z,2020-03-16T18:00:00.000Z,t,740996,6243312,7578
